ProductID,ProductName,Rating,Reviewtext
1,Running Shoes,4,Customer  support  was  very  helpful.
1,Running Shoes,3,"Average  experience,  nothing  special."
1,Running Shoes,5,Customer  support  was  very  helpful.
1,Running Shoes,4,The  quality  is  top-notch.
2,Fitness Tracker,2,Product  did    not  meet  my  expectations.
2,Fitness Tracker,4,Five  stars  for  the  quick  delivery.
2,Fitness Tracker,4,"Good  quality,  but  could  be  cheaper."
2,Fitness Tracker,3,"Average  experience,  nothing  special."
2,Fitness Tracker,5,Five  stars    for  the  quick  delivery.
2,Fitness Tracker,4,Shipping  was  fast  and  the  item  was  well-packaged.
2,Fitness Tracker,3,Not  worth  the  money.
3,Yoga Mat,1,Not  worth  the  money.
3,Yoga Mat,5,Exceeded  my  expectations!
3,Yoga Mat,3,The  quality  is  top-notch.
3,Yoga Mat,5,"Excellent  product,  highly  recommend!"
3,Yoga Mat,4,The  quality  is  top-notch.
3,Yoga Mat,5,Shipping  was  fast  and  the  item  was  well-packaged.
3,Yoga Mat,3,"Average  experience,  nothing    special."
4,Dumbbells,3,"Good  quality,  but  could  be    cheaper."
4,Dumbbells,3,Not  worth  the  money.
4,Dumbbells,1,The  product  stopped  working  after  a  month.
4,Dumbbells,3,"I  love  this    product,  will  buy  again!"
4,Dumbbells,5,The    build  quality  is  impressive.
5,Soccer Ball,4,Five  stars  for  the  quick  delivery.
5,Soccer Ball,4,"Great  purchase,    very  satisfied."
5,Soccer Ball,4,Shipping  was  fast    and  the  item  was  well-packaged.
6,Tennis Racket,5,"Excellent  product,  highly  recommend!"
6,Tennis Racket,4,The  quality  is  top-notch.
6,Tennis Racket,1,I  had  a  bad  experience  with  this  product.
6,Tennis Racket,4,Five  stars  for  the  quick  delivery.
6,Tennis Racket,3,"The  product  is  okay,  but  the  instructions  were  unclear."
6,Tennis Racket,5,"Great  purchase,  very  satisfied."
6,Tennis Racket,5,Five  stars  for  the  quick  delivery.
7,Basketball,2,"The  product    is  okay,  but  the  instructions  were  unclear."
7,Basketball,3,"Good  quality,  but  could    be  cheaper."
7,Basketball,3,"The  product  is  okay,  but  the  instructions  were  unclear."
8,Football Helmet,5,The  quality    is  top-notch.
8,Football Helmet,5,"Excellent  product,  highly  recommend!"
